time.TIME,Gyro.gyro_X,Gyro.gyro_Y,driver_demands.steering,driver_demands.throttle
0,-1.156027104,2.63E-05,0,0
0.01,-0.906015537,2.63E-05,-4.00E-12,8.14E-06
0.02,-0.656000438,2.63E-05,-3.74E-09,0.009990953
0.03,-0.406021475,2.63E-05,-7.37E-09,0.064636394
0.04,-0.156102636,2.64E-05,5.20E-08,0.194696939
0.05,0.093761147,2.65E-05,3.14E-07,0.42145089
0.06,0.343591124,2.66E-05,9.81E-07,0.753570318
0.07,0.593404032,2.68E-05,2.29E-06,1.188667083
0.08,0.843201674,2.69E-05,4.48E-06,1.720718757
0.09,1.092975339,2.71E-05,7.73E-06,2.344299696
0.1,1.342716983,2.73E-05,1.22E-05,3.050303154
0.11,1.592426526,2.75E-05,1.79E-05,3.819416613
0.12,1.842110882,2.78E-05,2.47E-05,4.622645152
0.13,2.091778007,2.80E-05,3.25E-05,5.429317862
0.14,2.341432036,2.83E-05,4.10E-05,6.214334554
0.15,2.591072865,2.86E-05,4.98E-05,6.958256722
0.16,2.840699068,2.88E-05,5.83E-05,7.642785516
0.17,3.09031079,2.91E-05,6.63E-05,8.249064899
0.18,3.339910309,2.94E-05,7.33E-05,8.762463766
0.19,3.5895005,2.97E-05,7.92E-05,9.180764536
0.2,3.839083021,3.00E-05,8.39E-05,9.52061521
0.21,4.088657748,3.04E-05,8.77E-05,9.820674807
0.22,4.338223592,3.07E-05,9.08E-05,10.12580561
0.23,4.58777973,3.10E-05,9.35E-05,10.44231909
0.24,4.837326226,3.13E-05,9.57E-05,10.76677678
0.25,5.086863763,3.17E-05,9.73E-05,11.09592188
0.26,5.336392967,3.20E-05,9.85E-05,11.42771868
0.27,5.585914,3.23E-05,9.92E-05,11.7610428
0.28,5.83542665,3.26E-05,9.94E-05,12.09468966
0.29,6.084930714,3.30E-05,9.91E-05,12.42672645
0.3,6.334426263,3.33E-05,9.85E-05,12.75463674
0.31,6.583913619,3.36E-05,9.74E-05,13.07592626
0.32,6.833393135,3.39E-05,9.60E-05,13.38858665
0.33,7.082865022,3.42E-05,9.43E-05,13.69109053
0.34,7.332329348,3.45E-05,0.000092343,13.98206587
0.35,7.581786153,3.47E-05,9.01E-05,14.26001754
0.36,7.83123557,3.50E-05,8.76E-05,14.52332526
0.37,8.08067783,3.53E-05,8.50E-05,14.77046129
0.38,8.330113195,3.55E-05,8.22E-05,15.00020912
0.39,8.579541881,3.58E-05,7.94E-05,15.21172198
0.4,8.828964042,3.60E-05,7.64E-05,15.40443215
0.41,9.078379807,3.63E-05,7.34E-05,15.57793868
0.42,9.327789328,3.65E-05,7.05E-05,15.73198453
0.43,9.577192793,3.67E-05,6.75E-05,15.86653315
0.44,9.826590401,3.69E-05,6.46E-05,15.98187261
0.45,10.07598233,3.71E-05,6.17E-05,16.07867249
0.46,10.32536873,3.73E-05,5.90E-05,16.15797622
0.47,10.57474971,3.75E-05,0.000056373,16.22116751
0.48,10.82412539,3.77E-05,5.39E-05,16.26995986
0.49,11.07349589,3.78E-05,5.15E-05,16.30642689
0.5,11.3228613,3.80E-05,4.94E-05,16.33305414
0.51,11.57222173,3.81E-05,4.74E-05,16.35278112
0.52,11.82157722,3.83E-05,4.55E-05,16.36901766
0.53,12.07092782,3.85E-05,4.39E-05,16.38471785
0.54,12.32027355,3.86E-05,4.24E-05,16.4003634
0.55,12.56961446,3.87E-05,4.12E-05,16.41594348
0.56,12.8189506,3.89E-05,4.01E-05,16.43144796
0.57,13.06828205,3.90E-05,3.92E-05,16.44687375
0.58,13.31760884,3.91E-05,3.85E-05,16.46222407
0.59,13.56693102,3.93E-05,3.79E-05,16.4775033
0.6,13.81624865,3.94E-05,3.75E-05,16.4927122
0.61,14.06556177,3.95E-05,3.73E-05,16.5078473
0.62,14.31487041,3.96E-05,3.72E-05,16.52290415
0.63,14.56417464,3.97E-05,3.73E-05,16.53788088
0.64,14.81347451,3.98E-05,3.74E-05,16.55277915
0.65,15.06277006,3.99E-05,3.77E-05,16.56760221
0.66,15.31206133,4.00E-05,3.81E-05,16.58235228
0.67,15.56134838,4.01E-05,3.86E-05,16.59702958
0.68,15.81063124,4.02E-05,3.91E-05,16.61163322
0.69,16.05990998,4.02E-05,3.97E-05,16.62616297
0.7,16.30918462,4.03E-05,4.04E-05,16.64062017
0.71,16.55845523,4.04E-05,4.11E-05,16.65500724
0.72,16.80772185,4.04E-05,4.18E-05,16.66932659
0.73,17.05698452,4.05E-05,4.26E-05,16.68357977
0.74,17.30624328,4.06E-05,4.34E-05,16.69776758
0.75,17.55549819,4.06E-05,4.42E-05,16.71189078
0.76,17.80474929,4.06E-05,4.49E-05,16.72595066
0.77,18.05399663,4.07E-05,4.57E-05,16.73994899
0.78,18.30324025,4.07E-05,4.64E-05,16.75388767
0.79,18.55248019,4.07E-05,4.72E-05,16.76776827
0.8,18.80171651,4.08E-05,4.79E-05,16.78159196
0.81,19.05094925,4.08E-05,4.85E-05,16.79535968
0.82,19.30017845,4.08E-05,4.92E-05,16.80907247
0.83,19.54940415,4.08E-05,4.98E-05,16.82273149
0.84,19.79862642,4.08E-05,5.03E-05,16.83633797
0.85,20.04784528,4.07E-05,5.08E-05,16.84989297
0.86,20.29706078,4.07E-05,5.13E-05,16.86339732
0.87,20.54627298,4.07E-05,5.17E-05,16.87685168
0.88,20.79548191,4.07E-05,5.21E-05,16.89025663
0.89,21.04468761,4.06E-05,5.25E-05,16.90361271
0.9,21.29389014,4.06E-05,5.28E-05,16.91692049
0.91,21.54308954,4.05E-05,5.31E-05,16.93018041
0.92,21.79228585,4.04E-05,5.33E-05,16.9433928
0.93,22.04147912,4.04E-05,5.35E-05,16.95655783
0.94,22.29066938,4.03E-05,5.37E-05,16.96967561
0.95,22.53985669,4.02E-05,5.39E-05,16.98274617
0.96,22.78904109,4.01E-05,5.40E-05,16.99576953
0.97,23.03822262,4.00E-05,5.41E-05,17.00874564
0.98,23.28740132,3.99E-05,5.42E-05,17.02167437
0.99,23.53657724,3.98E-05,5.43E-05,17.03455552
1,23.78575043,3.97E-05,5.44E-05,17.04738883
